"","work","needs_access","has_car","citysize","income","race","gender","children","age","educ"
"610","1","0","1","1","23750","0","1",1,"56","13"
"611","1","0","1","1","32500","0","0",0,"48","12"
"612","1","0","1","1","11250","0","1",0,"21","14"
"614","1","0","1","1","55000","0","0",2,"52","12"
"615","1","0","0","1","45000","0","1",1,"50","12"
"616","1","0","1","2","23750","0","1",0,"30","15"
"619","1","0","1","2","27500","0","1",0,"26","14"
"620","1","0","1","2","7500","0","0",0,"34","16"
"622","1","0","1","2","55000","0","1",0,"44","15"
"625","1","0","1","2","55000","0","1",0,"34","16"
"626","1","0","1","2","23750","0","1",2,"38","16"
"627","1","0","1","2","9000","0","0",0,"39","11"
"628","1","0","1","2","11250","0","1",3,"47","14"
"632","1","0","1","0","21250","1","1",2,"44","12"
"634","1","0","1","0","32500","0","0",3,"33","11"
"635","1","0","1","2","16250","0","1",0,"25","17"
"638","1","0","1","0","37500","0","0",4,"55","12"
"639","1","0","1","0","32500","0","0",3,"33","12"
"640","1","0","1","0","11250","0","1",2,"50","13"
"641","1","0","1","2","55000","0","0",2,"37","19"
"642","1","0","1","2","45000","0","1",3,"37","17"
"643","1","0","0","2","13750","0","0",0,"22","15"
"644","1","0","1","2","32500","0","1",2,"32","16"
"645","1","0","1","2","13750","0","1",0,"29","12"
"646","1","0","1","2","3500","0","1",0,"45","16"
"648","1","0","1","2","32500","0","1",0,"49","20"
"650","1","0","1","2","23750","0","1",0,"75","19"
"651","1","0","1","2","16250","0","1",0,"24","11"
"654","1","0","1","0","4500","0","1",1,"23","12"
"656","0","0","0","0","13750","0","0",2,"50","12"
"657","1","0","1","0","21250","0","1",0,"35","12"
"658","1","0","1","0","37500","0","1",2,"39","14"
"662","1","0","1","1","37500","0","0",2,"61","14"
"670","1","0","1","0","32500","0","0",2,"56","13"
"671","1","0","1","0","27500","0","0",1,"29","14"
"672","0","0","1","0","7500","0","1",1,"27","11"
"673","1","0","0","2","13750","1","0",2,"36","14"
"683","1","0","1","1","27500","0","1",0,"41","17"
"693","1","0","1","1","37500","0","0",3,"57","16"
"694","1","0","1","1","27500","0","0",0,"26","16"
"696","1","0","1","1","21250","0","0",1,"61","18"
"697","1","0","1","3","6500","1","0",2,"42","12"
"701","1","0","1","1","27500","0","1",3,"44","16"
"705","1","0","1","2","23750","1","0",0,"38","12"
"709","1","0","1","3","55000","0","0",0,"32","19"
"711","1","0","1","2","32500","0","0",5,"41","12"
"712","1","0","1","2","9000","0","1",3,"49","8"
"714","1","0","1","2","13750","0","1",2,"24","12"
"715","1","0","1","1","27500","0","1",0,"29","13"
