"","work","needs_access","has_car","mobility","citysize","income","race","gender","children","age","educ"
"625","1","0","1","1","2","55000","0","1","0","34","16"
"627","1","0","1","0","2","9000","0","0","0","39","11"
"628","1","0","1","0","2","11250","0","1","3","47","14"
"640","2","0","1","0","0","11250","0","1","2","50","13"
"641","2","0","1","1","2","55000","0","0","2","37","19"
"642","2","0","1","1","2","45000","0","1","3","37","17"
"643","2","0","0","0","2","13750","0","0","0","22","15"
"644","2","0","1","0","2","32500","0","1","2","32","16"
"645","2","0","1","0","2","13750","0","1","0","29","12"
"650","2","0","1","0","2","23750","0","1","0","75","19"
"651","2","0","1","0","2","16250","0","1","0","24","11"
"654","1","0","1","1","0","4500","0","1","1","23","12"
"658","2","0","1","1","0","37500","0","1","2","39","14"
"671","2","0","1","1","0","27500","0","0","1","29","14"
"673","2","0","0","2","2","13750","1","0","2","36","14"
"693","2","0","1","0","1","37500","0","0","3","57","16"
"694","2","0","1","0","1","27500","0","0","0","26","16"
"697","2","0","1","1","3","6500","1","0","2","42","12"
"701","1","0","1","2","1","27500","0","1","3","44","16"
"709","2","0","1","1","3","55000","0","0","0","32","19"
"711","2","0","1","0","2","32500","0","0","5","41","12"
"714","2","0","1","0","2","13750","0","1","2","24","12"
